Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry
CZNC,Citizens & Northern Corp,23.68,$286.21M,n/a,Finance,Major Banks
CZWI,"Citizens Community Bancorp, Inc.",11.17,$58.66M,n/a,Finance,Savings Institutions
CZFC,Citizens First Corporation,17.5,$35.01M,n/a,Finance,Major Banks
CIZN,Citizens Holding Company,24,$117M,n/a,Finance,Major Banks
CTXS,"Citrix Systems, Inc.",87.98,$13.72B,1995,Technology,Computer Software: Prepackaged Software
CHCO,City Holding Company,59.89,$898.78M,n/a,Finance,Major Banks
CIVB,"Civista Bancshares, Inc. ",15.23,$125.48M,n/a,Finance,Major Banks
CIVBP,"Civista Bancshares, Inc. ",47.9999,n/a,n/a,Finance,Major Banks
CDTI,"Clean Diesel Technologies, Inc.",2.28,$24.01M,n/a,Capital Goods,Pollution Control Equipment
CLNE,Clean Energy Fuels Corp.,3.69,$504.94M,2007,Public Utilities,Natural Gas Distribution
CLNT,"Cleantech Solutions International, Inc.",0.87,$4.56M,n/a,Technology,Industrial Machinery/Components
CLFD,"Clearfield, Inc.",19.2,$270.61M,n/a,Public Utilities,Telecommunications Equipment
CLRO,"ClearOne, Inc.",10.9932,$97.57M,n/a,Public Utilities,Telecommunications Equipment
CLSD,"Clearside Biomedical, Inc.",21.95,$451.47M,2016,Health Care,Major Pharmaceuticals
CLIR,ClearSign Combustion Corporation,4.4,$57.07M,2012,Capital Goods,Industrial Machinery/Components
CBLI,"Cleveland BioLabs, Inc.",1.6501,$18.13M,2006,Health Care,Biotechnology: Commercial Physical & Biological Resarch
CSBK,Clifton Bancorp Inc.,16.39,$377.73M,n/a,Finance,Savings Institutions
CLVS,"Clovis Oncology, Inc.",36.3,$1.4B,2011,Health Care,Major Pharmaceuticals
CMFN,CM Finance Inc,9.425,$129M,2014,n/a,n/a
CME,CME Group Inc.,115.5,$39.19B,2002,Finance,Investment Bankers/Brokers/Service
CCNE,CNB Financial Corporation,24,$347.18M,n/a,Finance,Major Banks
CISG,CNinsure Inc.,8.58,$495.52M,2007,Finance,Specialty Insurers
CNV,Cnova N.V.,5.45,$2.41B,2014,Consumer Services,Catalog/Specialty Distribution
CWAY,"Coastway Bancorp, Inc.",13.5,$60.3M,2014,Finance,Savings Institutions
COBZ,CoBiz Financial Inc.,14.91,$618.66M,1998,Finance,Major Banks
COKE,Coca-Cola Bottling Co. Consolidated,164.97,$1.54B,1972,Consumer Non-Durables,Beverages (Production/Distribution)
CDXS,"Codexis, Inc.",4.9,$201.98M,2010,Basic Industries,Major Chemicals
CVLY,"Codorus Valley Bancorp, Inc",22.08,$185.05M,n/a,Finance,Savings Institutions
JVA,"Coffee Holding Co., Inc.",5.14,$30.98M,2005,Consumer Non-Durables,Food Distributors
CCOI,"Cogent Communications Holdings, Inc.",39,$1.77B,n/a,Consumer Services,Telecommunications Equipment
CGNT,"Cogentix Medical, Inc.",2.47,$149.06M,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
COGT,"Cogint, Inc.",3.45,$174.79M,n/a,Consumer Services,Advertising
CGNX,Cognex Corporation,59.01,$5.06B,1989,Capital Goods,Industrial Machinery/Components
CTSH,Cognizant Technology Solutions Corporation,56.38,$34.21B,1998,Technology,EDP Services
COHR,"Coherent, Inc.",129.1,$3.14B,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments
CHRS,"Coherus BioSciences, Inc.",28,$1.22B,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
COHU,"Cohu, Inc.",12.21,$326.15M,n/a,Capital Goods,Electrical Products
CLCT,"Collectors Universe, Inc.",19.19,$170.75M,1999,Miscellaneous,Business Services
COLL,"Collegium Pharmaceutical, Inc.",16.42,$469.79M,2015,Health Care,Major Pharmaceuticals
CIGI,Colliers International Group Inc. ,34.85,$1.3B,n/a,Finance,Real Estate
CBAN,"Colony Bankcorp, Inc.",10.55,$89.03M,n/a,Finance,Major Banks
CLCD,"CoLucid Pharmaceuticals, Inc.",37.45,$720.79M,2015,Health Care,Major Pharmaceuticals
COLB,"Columbia Banking System, Inc.",38.67,$2.24B,1992,Finance,Major Banks
COLM,Columbia Sportswear Company,59.68,$4.17B,1998,Consumer Non-Durables,Apparel
CMCO,Columbus McKinnon Corporation,23.85,$482.59M,1996,Capital Goods,Construction/Ag Equipment/Trucks
CBMX,CombiMatrix Corporation,2.9,$7.25M,n/a,Health Care,Hospital/Nursing Management
CBMXW,CombiMatrix Corporation,0.5,n/a,n/a,Health Care,Hospital/Nursing Management
CMCSA,Comcast Corporation,68.49,$163.89B,n/a,Consumer Services,Television Services
CBSH,"Commerce Bancshares, Inc.",57.2,$5.53B,n/a,Finance,Major Banks
CBSHP,"Commerce Bancshares, Inc.",25.2137,$2.31B,n/a,Finance,Major Banks
CUBN,"Commerce Union Bancshares, Inc.",19.6,$152.16M,n/a,n/a,n/a
CHUBA,"CommerceHub, Inc.",14.88,$637.61M,n/a,Technology,Computer Software: Prepackaged Software
CHUBK,"CommerceHub, Inc.",15.01,$643.18M,n/a,Technology,Computer Software: Prepackaged Software
CVGI,"Commercial Vehicle Group, Inc.",5.46,$165.71M,2004,Capital Goods,Auto Parts:O.E.M.
COMM,"CommScope Holding Company, Inc.",35,$6.75B,2013,Technology,Radio And Television Broadcasting And Communications Equipment
CSAL,"Communications Sales & Leasing,Inc.",23.97,$3.73B,n/a,Consumer Services,Real Estate Investment Trusts
JCS,"Communications Systems, Inc.",4.3,$38.11M,n/a,Public Utilities,Telecommunications Equipment
ESXB,Community Bankers Trust Corporation.,5.975,$131.14M,n/a,Finance,Major Banks
CCFI,Community Choice Financial Inc.,n/a,n/a,n/a,n/a,n/a
CYHHZ,"Community Health Systems, Inc.",0.007,n/a,n/a,Health Care,Hospital/Nursing Management
CTBI,"Community Trust Bancorp, Inc.",41.85,$737.36M,n/a,Finance,Major Banks
CWBC,Community West Bancshares,8.5,$68.8M,n/a,Finance,Major Banks
CVLT,"CommVault Systems, Inc.",55.6,$2.52B,2006,Technology,Computer Software: Prepackaged Software
CGEN,Compugen Ltd.,6.45,$328.36M,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CPSI,"Computer Programs and Systems, Inc.",24.4,$330.21M,2002,Technology,EDP Services
CTG,"Computer Task Group, Incorporated",4.24,$68.72M,n/a,Technology,EDP Services
SCOR,"comScore, Inc.",29.52,$1.15B,2007,Miscellaneous,Business Services
CHCI,"Comstock Holding Companies, Inc.",1.88,$6.41M,2004,Capital Goods,Homebuilding
CMTL,Comtech Telecommunications Corp.,11.23,$264M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment
CNAT,Conatus Pharmaceuticals Inc.,1.96,$51.09M,2013,Health Care,Major Pharmaceuticals
CNCE,"Concert Pharmaceuticals, Inc.",10.21,$227.42M,2014,Health Care,Major Pharmaceuticals
CXRX,Concordia International Corp.,3.26,$166.32M,n/a,Health Care,Major Pharmaceuticals
CCUR,Concurrent Computer Corporation,5.73,$56.7M,n/a,Technology,Computer Manufacturing
CDOR,"Condor Hospitality Trust, Inc.",1.6807,$8.33M,n/a,Consumer Services,Real Estate Investment Trusts
CFMS,"ConforMIS, Inc.",9.3,$398.81M,2015,Health Care,Industrial Specialties
CONG,congatec Holding AG,n/a,n/a,n/a,n/a,n/a
CNFR,"Conifer Holdings, Inc.",7.7,$58.77M,2015,Finance,Property-Casualty Insurers
CNMD,CONMED Corporation,44.84,$1.25B,1987,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CTWS,"Connecticut Water Service, Inc.",54.27,$610.02M,n/a,Public Utilities,Water Supply
CNOB,"ConnectOne Bancorp, Inc.",22.4,$677.95M,n/a,Finance,Major Banks
CNXR,"Connecture, Inc.",1.89,$42.23M,2014,Technology,Computer Software: Prepackaged Software
CONN,"Conn&#39;s, Inc.",11,$338.56M,2003,Consumer Services,Consumer Electronics/Video Chains
CNSL,"Consolidated Communications Holdings, Inc.",27.58,$1.4B,2005,Public Utilities,Telecommunications Equipment
CWCO,Consolidated Water Co. Ltd.,11.1,$164.49M,n/a,Public Utilities,Water Supply
CPSS,"Consumer Portfolio Services, Inc.",5.08,$121.12M,1992,Finance,Finance: Consumer Services
CFRX,ContraFect Corporation,2.15,$89.39M,2014,Health Care,Major Pharmaceuticals
CFRXW,ContraFect Corporation,0.0601,n/a,2014,Health Care,Major Pharmaceuticals
CTRV,ContraVir Pharmaceuticals Inc,2.01,$120.49M,n/a,Health Care,Major Pharmaceuticals
CTRL,Control4 Corporation,11.3,$267.12M,2013,Capital Goods,Electrical Products
CPAA,Conyers Park Acquisition Corp.,10.62,$534.32M,2016,Finance,Business Services
CPAAU,Conyers Park Acquisition Corp.,11,n/a,2016,Finance,Business Services
CPAAW,Conyers Park Acquisition Corp.,2.73,n/a,2016,Finance,Business Services
CPRT,"Copart, Inc.",56.64,$6.47B,1994,Consumer Durables,Automotive Aftermarket
COYN,"COPsync, Inc.",1.1,$9.81M,n/a,Technology,Computer Communications Equipment
COYNW,"COPsync, Inc.",0.1765,n/a,n/a,Technology,Computer Communications Equipment
CRBP,"Corbus Pharmaceuticals Holdings, Inc.",7,$311.06M,n/a,Health Care,Major Pharmaceuticals
CORT,Corcept Therapeutics Incorporated,9.56,$1.06B,1982,Health Care,Major Pharmaceuticals
CORE,"Core-Mark Holding Company, Inc.",36.36,$1.68B,n/a,Consumer Non-Durables,Food Distributors
CORI,"Corium International, Inc.",5.23,$116.94M,2014,Health Care,Major Pharmaceuticals
CSOD,"Cornerstone OnDemand, Inc.",38.2,$2.15B,2011,Technology,Computer Software: Prepackaged Software
CRVL,CorVel Corp.,33.15,$646.18M,n/a,Finance,Specialty Insurers
CRVS,"Corvus Pharmaceuticals, Inc.",15.03,$314.31M,2016,Health Care,Major Pharmaceuticals
CSGP,"CoStar Group, Inc.",198.99,$6.49B,1998,Miscellaneous,Business Services
COST,Costco Wholesale Corporation,151.2,$66.09B,n/a,Consumer Services,Department/Specialty Retail Stores
CPAH,CounterPath Corporation,1.9,$8.65M,n/a,Technology,Computer Software: Prepackaged Software
ICBK,"County Bancorp, Inc.",22.63,$148.46M,2015,Finance,Major Banks
COUP,Coupa Software Incorporated,29.64,$1.43B,2016,Technology,Computer Software: Prepackaged Software
CVTI,"Covenant Transportation Group, Inc.",19.22,$349.69M,1994,Transportation,Trucking Freight/Courier Services
COVS,Covisint Corporation,2.15,$87.81M,2013,Technology,EDP Services
COWN,"Cowen Group, Inc.",3.4,$364.87M,n/a,Finance,Investment Bankers/Brokers/Service
COWNL,"Cowen Group, Inc.",25.6,n/a,n/a,Finance,Investment Bankers/Brokers/Service
PMTS,CPI Card Group Inc.,3.8,$209.86M,2015,Finance,Finance Companies
CPSH,CPS Technologies Corp.,1.31,$17.3M,n/a,Capital Goods,Building Materials
CRAI,"CRA International,Inc.",31,$256.48M,1998,Miscellaneous,Other Consumer Services
CBRL,"Cracker Barrel Old Country Store, Inc.",154.99,$3.72B,1981,Consumer Services,Restaurants
BREW,"Craft Brew Alliance, Inc.",15.1,$290.79M,n/a,Consumer Non-Durables,Beverages (Production/Distribution)
CRAY,Cray Inc,18.65,$759.95M,n/a,Technology,Computer Manufacturing
CACC,Credit Acceptance Corporation,190.53,$3.87B,1992,Finance,Finance: Consumer Services
GLDI,Credit Suisse Gold Shares Covered Calls ETN,9.5,$128.49M,n/a,Finance,Investment Bankers/Brokers/Service
SLVO,Credit Suisse Silver Shares Covered Call ETN,8.63,$7.34M,n/a,Finance,Investment Bankers/Brokers/Service
CREE,"Cree, Inc.",25.15,$2.51B,1993,Technology,Semiconductors
CRESY,Cresud S.A.C.I.F. y A.,15.7,"$47,571 ",1997,Finance,Real Estate
CRSP,CRISPR Therapeutics AG,21.8,$858.06M,2016,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CRTO,Criteo S.A.,40,$2.55B,2013,Technology,Advertising
CROX,"Crocs, Inc.",8.16,$600.14M,2006,Consumer Non-Durables,Shoe Manufacturing
CCRN,"Cross Country Healthcare, Inc.",14.93,$492.85M,2001,Technology,Professional Services
XRDC,"Crossroads Capital, Inc.",1.6799,$16.07M,2011,n/a,n/a
CRDS,"Crossroads Systems, Inc.",5.1,$6.25M,1999,Technology,Computer peripheral equipment
CRWS,"Crown Crafts, Inc.",8.75,$87.46M,n/a,Basic Industries,Textiles
CYRX,"CryoPort, Inc.",2.55,$38.56M,n/a,Capital Goods,Containers/Packaging
CYRXW,"CryoPort, Inc.",0.56,n/a,n/a,Capital Goods,Containers/Packaging
CSGS,"CSG Systems International, Inc.",41.74,$1.35B,1996,Technology,EDP Services
CCLP,CSI Compressco LP,9.88,$328.63M,2011,Energy,Oilfield Services/Equipment
CSPI,CSP Inc.,10.45,$39.82M,1982,Technology,EDP Services
CSWI,"CSW Industrials, Inc.",35.45,$560.56M,n/a,Basic Industries,Home Furnishings
CSX,CSX Corporation,33.96,$31.81B,n/a,Transportation,Railroads
CTIC,CTI BioPharma Corp.,0.402,$113.52M,1997,Health Care,Major Pharmaceuticals
CTIB,CTI Industries Corporation,6.0983,$21.49M,1997,Basic Industries,Specialty Chemicals
CTRP,"Ctrip.com International, Ltd.",42.31,$19.73B,2003,Miscellaneous,Business Services
CUNB,CU Bancorp (CA),27,$477.32M,n/a,Finance,Major Banks
CUI,"CUI Global, Inc.",5.55,$116.08M,n/a,Consumer Non-Durables,Electronic Components
CPIX,Cumberland Pharmaceuticals Inc.,5.42,$87.7M,2009,Health Care,Major Pharmaceuticals
CMLS,Cumulus Media Inc.,1.3766,$40.34M,1998,Consumer Services,Broadcasting
CRIS,"Curis, Inc.",3.44,$483.49M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CUTR,"Cutera, Inc.",14.7,$197.1M,2004,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CVBF,CVB Financial Corporation,20.74,$2.24B,n/a,Finance,Major Banks
CVV,CVD Equipment Corporation,8.04,$50.85M,n/a,Technology,Industrial Machinery/Components
CYAN,Cyanotech Corporation,3.9843,$22.59M,n/a,Consumer Durables,Specialty Chemicals
CYBR,CyberArk Software Ltd.,54.46,$1.81B,2014,Technology,Computer Software: Prepackaged Software
CYBE,CyberOptics Corporation,29.6,$203.72M,1987,Capital Goods,Electronic Components
CYCC,"Cyclacel Pharmaceuticals, Inc.",5.38,$22.87M,n/a,Health Care,Major Pharmaceuticals
CYCCP,"Cyclacel Pharmaceuticals, Inc.",6.98,$2.34M,n/a,Health Care,Major Pharmaceuticals
CBAY,CymaBay Therapeutics Inc.,2.2,$51.58M,n/a,Health Care,Major Pharmaceuticals
CYNO,"Cynosure, Inc.",43.65,$1.04B,2005,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CY,Cypress Semiconductor Corporation,10.74,$3.47B,1986,Technology,Semiconductors
CYRN,CYREN Ltd.,2.2,$86.07M,n/a,Technology,Computer Software: Prepackaged Software
CONE,CyrusOne Inc,39.91,$3.33B,2013,Consumer Services,Real Estate Investment Trusts
CYTK,"Cytokinetics, Incorporated",11.1,$449.74M,2004,Health Care,Major Pharmaceuticals
CTMX,"CytomX Therapeutics, Inc.",11.51,$418.99M,2015,Health Care,Major Pharmaceuticals
CYTX,Cytori Therapeutics Inc,1.69,$34.65M,n/a,Health Care,Medical/Dental Instruments
CYTXW,Cytori Therapeutics Inc,0.69,n/a,n/a,Health Care,Medical/Dental Instruments
CTSO,Cytosorbents Corporation,5.35,$136.26M,n/a,Health Care,Medical/Dental Instruments
CYTR,CytRx Corporation,0.5513,$53.44M,1986,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DJCO,Daily Journal Corp. (S.C.),224.59,$310.1M,n/a,Consumer Services,Newspapers/Magazines
DAKT,"Daktronics, Inc.",9.48,$415.91M,1994,Consumer Durables,Miscellaneous manufacturing industries
DRIO,DarioHealth Corp.,2.9056,$16.6M,n/a,Health Care,Medical/Dental Instruments
DRIOW,DarioHealth Corp.,0.62,n/a,n/a,Health Care,Medical/Dental Instruments
DZSI,"DASAN Zhone Solutions, Inc.",1.19,$40.9M,n/a,Public Utilities,Telecommunications Equipment
DAIO,Data I/O Corporation,4.19,$33.49M,1981,Capital Goods,Electrical Products
DTLK,Datalink Corporation,11.16,$250.21M,1999,Technology,EDP Services
DRAM,Dataram Corporation,0.92,$3.4M,n/a,Technology,Electronic Components
DWCH,Datawatch Corporation,6.95,$82.87M,1992,Technology,Computer Software: Prepackaged Software
PLAY,"Dave & Buster&#39;s Entertainment, Inc.",45.33,$1.91B,2014,Consumer Services,Restaurants
DTEA,DAVIDsTEA Inc.,10.45,$258.59M,2015,Consumer Non-Durables,Food Chains
DWSN,Dawson Geophysical Company,7.66,$165.7M,n/a,Energy,Oil & Gas Production
DBVT,DBV Technologies S.A.,36.51,$1.77B,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DHRM,Dehaier Medical Systems Limited,1.68,$11.46M,2010,Health Care,Medical/Dental Instruments
DFRG,"Del Frisco&#39;s Restaurant Group, Inc.",15.7,$369.39M,2012,Consumer Services,Restaurants
TACO,"Del Taco Restaurants, Inc.",14,$548.14M,2014,Consumer Services,Restaurants
TACOW,"Del Taco Restaurants, Inc.",4.71,n/a,2014,Consumer Services,Restaurants
DCTH,"Delcath Systems, Inc.",2.17,$4.77M,2000,Health Care,Medical/Dental Instruments
DMPI,"DelMar Pharmaceuticals, Inc.",4.03,$42M,n/a,Health Care,Major Pharmaceuticals
DGAS,"Delta Natural Gas Company, Inc.",24.72,$175.92M,1981,Public Utilities,Oil & Gas Production
DELT,Delta Technology Holdings Limited,1.06,$10.2M,n/a,Basic Industries,Major Chemicals
DELTW,Delta Technology Holdings Limited,0.15,n/a,2013,Basic Industries,Major Chemicals
DENN,Denny&#39;s Corporation,12.15,$891.41M,n/a,Consumer Services,Restaurants
XRAY,DENTSPLY SIRONA Inc.,60.95,$14.07B,1987,Health Care,Medical/Dental Instruments
DEPO,"Depomed, Inc.",20.55,$1.27B,n/a,Health Care,Major Pharmaceuticals
DSCI,"Derma Sciences, Inc.",4.25,$120.14M,n/a,Health Care,Medical/Dental Instruments
DERM,"Dermira, Inc.",33.99,$1.21B,2014,Health Care,Major Pharmaceuticals
DEST,Destination Maternity Corporation,7.92,$110.98M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores
DXLG,"Destination XL Group, Inc.",4.85,$246.68M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores
DSWL,"Deswell Industries, Inc.",1.78,$28.58M,1995,Consumer Non-Durables,Plastic Products
DTRM,"Determine, Inc. ",2.19,$25.42M,n/a,Technology,Computer Software: Prepackaged Software
DXCM,"DexCom, Inc.",72.01,$6.09B,2005,Health Care,Medical/Dental Instruments
DXTR,Dextera Surgical Inc.,1.465,$13.08M,n/a,Health Care,Medical/Dental Instruments
DHXM,DHX Media Ltd.,5.2,$128.55M,n/a,n/a,n/a
DHIL,"Diamond Hill Investment Group, Inc.",200.93,$685.99M,n/a,Finance,Investment Managers
FANG,"Diamondback Energy, Inc.",97.92,$7.64B,2012,Energy,Oil & Gas Production
DCIX,Diana Containerships Inc.,4.05,$37.91M,n/a,Transportation,Marine Transportation
DRNA,"Dicerna Pharmaceuticals, Inc.",4.24,$87.99M,2014,Health Care,Major Pharmaceuticals
DFBG,Differential Brands Group Inc.,3.55,$46.45M,n/a,Consumer Non-Durables,Apparel
DFFN,Diffusion Pharmaceuticals Inc.,4.0431,$41.83M,n/a,Health Care,Major Pharmaceuticals
DGII,Digi International Inc.,13.5,$350.49M,1989,Technology,Computer Communications Equipment
DMRC,Digimarc Corporation,29.1,$306.2M,n/a,Technology,EDP Services
DRAD,Digirad Corporation,4.7,$92.49M,2004,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
DGLY,"Digital Ally, Inc.",5.15,$27.7M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment
APPS,"Digital Turbine, Inc.",0.93,$61.97M,n/a,Miscellaneous,Multi-Sector Companies
DCOM,"Dime Community Bancshares, Inc.",18.6,$698.32M,n/a,Finance,Savings Institutions
DMTX,"Dimension Therapeutics, Inc.",5.1,$127.72M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DIOD,Diodes Incorporated,23.51,$1.15B,n/a,Technology,Semiconductors
DPRX,"Dipexium Pharmaceuticals, Inc.",1.65,$17.16M,2014,Health Care,Major Pharmaceuticals
DISCA,"Discovery Communications, Inc.",28.03,$11.02B,n/a,Consumer Services,Television Services
DISCB,"Discovery Communications, Inc.",26.45,$10.4B,n/a,Consumer Services,Television Services
DISCK,"Discovery Communications, Inc.",27.09,$10.65B,n/a,Consumer Services,Television Services
DISH,DISH Network Corporation,55.66,$25.88B,1995,Consumer Services,Television Services
DVCR,Diversicare Healthcare Services Inc.,11.0001,$69.97M,n/a,Health Care,Hospital/Nursing Management
SAUC,"Diversified Restaurant Holdings, Inc.",1.09,$29.07M,n/a,Consumer Services,Restaurants
DLHC,DLH Holdings Corp.,4.8,$50.69M,n/a,Technology,Professional Services
BOOM,DMC Global Inc.,15.2,$220.13M,n/a,Capital Goods,Industrial Specialties
DNBF,DNB Financial Corp,26.3,$111.23M,n/a,Finance,Major Banks
DLTR,"Dollar Tree, Inc.",81.65,$19.25B,1995,Consumer Services,Department/Specialty Retail Stores
DGICA,"Donegal Group, Inc.",16.08,$431.08M,n/a,Finance,Property-Casualty Insurers
DGICB,"Donegal Group, Inc.",17.9,$479.87M,1986,Finance,Property-Casualty Insurers
DMLP,"Dorchester Minerals, L.P.",15.95,$489.27M,n/a,Energy,Oil & Gas Production
DORM,"Dorman Products, Inc.",68.97,$2.39B,n/a,Capital Goods,Auto Parts:O.E.M.
EAGL,Double Eagle Acquisition Corp.,9.95,$621.88M,2015,Finance,Business Services
EAGLU,Double Eagle Acquisition Corp.,10.31,n/a,2015,Finance,Business Services
EAGLW,Double Eagle Acquisition Corp.,0.44,n/a,2015,Finance,Business Services
DRWI,DragonWave Inc,3.05,$16.74M,2009,Public Utilities,Telecommunications Equipment
DRYS,DryShips Inc.,11,"$91,091 ",2005,Transportation,Marine Transportation
DSKX,"DS Healthcare Group, Inc.",0.6699,$15.11M,n/a,Consumer Non-Durables,Package Goods/Cosmetics
DSPG,"DSP Group, Inc.",12.15,$262.71M,1994,Technology,Semiconductors
DTSI,"DTS, Inc.",42.5,$759.58M,2003,Miscellaneous,Multi-Sector Companies
DLTH,Duluth Holdings Inc.,32.78,$1.06B,2015,Consumer Services,Clothing/Shoe/Accessory Stores
DNKN,"Dunkin&#39; Brands Group, Inc.",49.91,$4.58B,2011,Consumer Services,Restaurants
DRRX,DURECT Corporation,1.4,$194.01M,2000,Health Care,Major Pharmaceuticals
DXPE,"DXP Enterprises, Inc.",28.75,$498.42M,n/a,Capital Goods,Industrial Machinery/Components
DYSL,Dynasil Corporation of America,0.9856,$16.6M,n/a,Capital Goods,Industrial Machinery/Components
DYNT,Dynatronics Corporation,2.75,$7.83M,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
DVAX,Dynavax Technologies Corporation,4.5,$173.37M,2004,Health Care,Major Pharmaceuticals
ETFC,E*TRADE Financial Corporation,34.11,$9.34B,n/a,Finance,Savings Institutions
EBMT,"Eagle Bancorp Montana, Inc.",17.8954,$67.64M,n/a,Finance,Savings Institutions
EGBN,"Eagle Bancorp, Inc.",54.25,$1.82B,n/a,Finance,Major Banks
EGLE,Eagle Bulk Shipping Inc.,7.11,$342.04M,n/a,Transportation,Marine Transportation
EGRX,"Eagle Pharmaceuticals, Inc.",78.18,$1.21B,2014,Health Care,Major Pharmaceuticals
IGLE,Eagleline Acquisition Corp.,n/a,n/a,n/a,n/a,n/a
IGLEU,Eagleline Acquisition Corp.,n/a,n/a,n/a,n/a,n/a
ELNK,EarthLink Holdings Corp.,5.24,$597.36M,n/a,Technology,"Computer Software: Programming, Data Processing"
EWBC,"East West Bancorp, Inc.",46.72,$6.74B,n/a,Finance,Major Banks
EACQ,Easterly Acquisition Corp.,9.95,$248.75M,2015,Capital Goods,Building Products
EACQU,Easterly Acquisition Corp.,10.17,n/a,2015,Capital Goods,Building Products
EACQW,Easterly Acquisition Corp.,0.72,n/a,2015,Capital Goods,Building Products
EML,Eastern Company (The),19.5,$121.96M,n/a,Capital Goods,Industrial Machinery/Components
EVBS,"Eastern Virginia Bankshares, Inc.",8.72,$114.38M,n/a,Finance,Major Banks
EVGBC,Eaton Vance NextShares Trust,100.02,n/a,n/a,n/a,n/a
EVSTC,Eaton Vance NextShares Trust,100.01,n/a,n/a,n/a,n/a
EVLMC,Eaton Vance NextShares Trust II,100.04,n/a,n/a,n/a,n/a
EBAY,eBay Inc.,28.87,$32.27B,1998,Miscellaneous,Business Services
EBAYL,eBay Inc.,25.55,n/a,n/a,Miscellaneous,Business Services
EBIX,"Ebix, Inc.",60.15,$1.95B,n/a,Technology,EDP Services
ELON,Echelon Corporation,4.58,$20.3M,1998,Technology,Computer Communications Equipment
ECHO,"Echo Global Logistics, Inc.",25.9,$756.96M,2009,Transportation,Oil Refining/Marketing
SATS,EchoStar Corporation,49.85,$4.69B,n/a,Technology,Radio And Television Broadcasting And Communications Equipment
EEI,"Ecology and Environment, Inc.",9.25,$39.72M,1987,Consumer Services,Military/Government/Technical
ECAC,E-compass Acquisition Corp.,10.26,$54.48M,2015,Finance,Business Services
ECACR,E-compass Acquisition Corp.,0.58,n/a,2015,Finance,Business Services
ECACU,E-compass Acquisition Corp.,10.801,n/a,2015,Finance,Business Services
ESES,"Eco-Stim Energy Solutions, Inc.",1.96,$26.74M,n/a,Energy,Oilfield Services/Equipment
EDAP,EDAP TMS S.A.,3.35,$96.24M,1997,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EDGE,"Edge Therapeutics, Inc.",12.08,$349.32M,2015,Health Care,Major Pharmaceuticals
EDGW,"Edgewater Technology, Inc.",7.13,$88.25M,n/a,Technology,"Computer Software: Programming, Data Processing"
EDIT,"Editas Medicine, Inc.",15.66,$574.03M,2016,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EDUC,Educational Development Corporation,8.5,$34.69M,n/a,Consumer Durables,Consumer Specialties
EFUT,eFuture Holding Inc.,6.32,$33.27M,n/a,Technology,EDP Services
EGAN,eGain Corporation,2.5,$67.76M,1999,Technology,Computer Software: Prepackaged Software
EGLT,Egalet Corporation,7.99,$201.26M,2014,Health Care,Major Pharmaceuticals
EHTH,"eHealth, Inc.",9.84,$180.48M,2006,Finance,Specialty Insurers
EIGR,"Eiger BioPharmaceuticals, Inc.",12.8,$106.97M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EKSO,"Ekso Bionics Holdings, Inc.",4.1,$89.71M,n/a,Capital Goods,Industrial Machinery/Components
LOCO,"El Pollo Loco Holdings, Inc.",12.35,$475.15M,2014,Consumer Services,Restaurants
EMITF,Elbit Imaging Ltd.,3.65,$33.55M,n/a,Consumer Services,Building operators
ESLT,Elbit Systems Ltd.,103.69,$4.43B,n/a,Capital Goods,Military/Government/Technical
ERI,"Eldorado Resorts, Inc.",13.85,$652.41M,n/a,Consumer Services,Hotels/Resorts
ESIO,"Electro Scientific Industries, Inc.",5.26,$170.76M,n/a,Miscellaneous,Industrial Machinery/Components
EA,Electronic Arts Inc.,79.62,$24.03B,n/a,Technology,Computer Software: Prepackaged Software
EFII,"Electronics for Imaging, Inc.",43.61,$2.04B,1992,Technology,Computer Communications Equipment
ELSE,"Electro-Sensors, Inc.",3.5399,$12.02M,n/a,Capital Goods,Industrial Machinery/Components
ELEC,Electrum Special Acquisition Corporation,9.88,$247M,2015,Finance,Business Services
ELECU,Electrum Special Acquisition Corporation,10.08,$252M,2015,Finance,Business Services
